,num_dense_layers,num_dense_nodes,learning_rate,activation,adam_decay,mse_train,r2_train,drop_out
0,1.0,152.0,0.00011297668236867529,selu,2.96827745091213e-06,0.025932749640104055,0.8748231494227963,0.3547587589492483
0,2.0,1996.0,0.006113041935751058,linear,0.00543810447480445,0.16016605235484707,0.2268817506278581,0.18632828035386179
0,3.0,1526.0,0.008301597404995602,sigmoid,0.0034747464958443555,0.207470350772485,-0.0014551275228060767,0.18751242426795128
0,1.0,684.0,7.4477078727437615e-06,selu,6.620213889137899e-05,0.03815364890184791,0.8158331193628665,0.00440581795373185
0,2.0,1554.0,0.0016358096773935445,relu,1.9597186082502226e-05,0.05913842369838489,0.7145400418621252,0.36473637833436134
0,2.0,636.0,0.00014732948518792543,linear,3.843600029342734e-05,0.01786702992131994,0.9137562130603857,0.47411142505456605
0,1.0,1124.0,0.00434311950382067,relu,0.00012960475112261863,0.018532938666650824,0.9105418852058711,0.00986413345105197
0,2.0,1604.0,3.735104877135953e-05,relu,0.007280042744688581,0.02685462647166961,0.8703732688664741,0.4915480441175191
0,3.0,224.0,0.0003942283895845169,selu,3.2680407028110136e-05,0.018621315429033287,0.9101152923866455,0.03741479585072849
0,2.0,1226.0,8.20620785836945e-05,sigmoid,0.00024118003269725966,0.028138169138538345,0.8641776347416753,0.11945044152112305
