,num_dense_layers,num_dense_nodes,learning_rate,activation,adam_decay,mse_train,r2_train,drop_out
0,3.0,1154.0,0.003399817745046452,sigmoid,0.00029482776592320686,0.06870054244522575,0.049518811978092714,0.47676782981063254
0,2.0,508.0,4.558001230502031e-06,linear,1.260971899108446e-06,0.026463668082657342,0.633871614642985,0.23687807216208207
0,2.0,1826.0,0.007062633734361571,linear,0.0003880771573980912,0.3470103640220935,-3.800934771579156,0.06110811108380071
0,1.0,36.0,3.044541739739545e-05,sigmoid,7.425765181261614e-06,0.04462808584158167,0.38256446688656387,0.2004011610084559
0,1.0,482.0,0.002917347247340678,relu,0.001158324746899495,0.012150372551640238,0.8318979715917171,0.27099533240238294
0,2.0,962.0,0.0009356895446261643,selu,8.467134543473674e-05,0.014086408964774345,0.8051126490234634,0.0966461122219095
0,2.0,488.0,0.002205351164782937,linear,0.00014712355661810413,0.012676286325980765,0.8246218842241273,0.12525658403956902
0,1.0,598.0,0.0006784521117763082,linear,7.69991680105301e-05,0.013306828629549426,0.8158982471688327,0.08934756074425787
0,2.0,328.0,1.2673752047862937e-06,sigmoid,2.469817309915956e-06,0.1736907872831561,-1.4030352595393123,0.03643105052521872
0,1.0,1578.0,2.8095431479987207e-06,selu,0.00021683363129929625,0.03384851942213785,0.5317012092184439,0.4169381624036397
