,num_dense_layers,num_dense_nodes,learning_rate,activation,adam_decay,mse_train,r2_train,drop_out
0,2.0,1732.0,0.0025233507762905025,sigmoid,0.0006880179309142416,0.3739833157776845,0.009677794956859942,0.30080172809779915
0,1.0,332.0,4.6339709799404496e-06,linear,0.00034922886390848743,0.1665566280109387,0.5589516426064451,0.09474789334558481
0,2.0,1776.0,3.0190188582390373e-05,linear,0.0001971500547313715,0.061279523958005094,0.8377294635085786,0.39292446473514747
0,2.0,1886.0,2.0573282973158548e-05,selu,8.79477794103951e-06,0.06453887656262573,0.8290985724440697,0.476199846226775
0,2.0,1116.0,6.650629262596657e-05,sigmoid,3.118704774158986e-06,0.08983231935891324,0.7621205630345744,0.2078478950041019
0,3.0,338.0,0.002063129619384211,selu,0.0030807902994012277,0.09306019214230092,0.7535730317475278,0.21378815766164355
0,3.0,706.0,2.443371318168302e-06,sigmoid,0.0002466309997745875,0.3696969676695765,0.021028209616874682,0.36321896119111
0,2.0,1752.0,7.789806471636586e-06,relu,0.0004259986038949484,0.060729212557857744,0.8391867092633016,0.03149511528628346
0,2.0,1046.0,1.1720531277864194e-06,sigmoid,0.0003063978456593892,0.41407565022201437,-0.09648824876001583,0.43204942129928753
0,2.0,510.0,0.0010220606279972737,sigmoid,1.5303976171590927e-05,0.06157168587319292,0.8369558075194691,0.27490685042440516
